epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.52971,1.54733,4.06274,1.03437,0.00088,0.01961,0.00653,0.00326,0.4341,3.72221,0.79565,0,0,0
2,2.23097,1.18598,3.90068,0.99733,0.00088,0.01961,0.01875,0.00937,0.43393,3.72375,0.79769,1.41485e-05,1.41485e-05,1.41485e-05
3,2.87392,1.33221,3.95167,1.0449,0.00089,0.01961,0.01876,0.0075,0.43877,3.72504,0.798,2.80141e-05,2.80141e-05,2.80141e-05
4,3.48181,1.3818,4.00019,0.99192,0.00089,0.01961,0.01875,0.00563,0.44242,3.72692,0.7981,4.15968e-05,4.15968e-05,4.15968e-05
5,4.14889,1.29533,3.96712,1.02078,0.00088,0.01961,0.00958,0.00383,0.40109,3.62777,0.79162,5.48965e-05,5.48965e-05,5.48965e-05
6,5.08155,1.00463,3.76452,0.91573,0,0,0,0,0.51316,3.58661,0.7986,6.79132e-05,6.79132e-05,6.79132e-05
7,5.9494,0.73945,3.55364,0.86376,0,0,0,0,0.79421,3.59259,0.82094,8.0647e-05,8.0647e-05,8.0647e-05
8,6.83316,0.70447,3.34355,0.84858,0,0,0,0,0.95315,3.58611,0.83925,9.30979e-05,9.30979e-05,9.30979e-05
9,7.69437,0.8154,3.26996,0.81099,0,0,0,0,0.9486,3.5869,0.83883,0.000105266,0.000105266,0.000105266
10,8.76156,0.75343,3.34482,0.81744,0,0,0,0,1.00779,3.57689,0.84897,0.000117151,0.000117151,0.000117151
11,9.69845,0.82696,3.0755,0.84746,0.00087,0.01961,0.01875,0.00375,0.94432,3.54947,0.8435,0.000128753,0.000128753,0.000128753
12,10.5662,0.80262,2.76615,0.82926,0.0027,0.08683,0.03309,0.01985,0.78648,3.50934,0.82424,0.000140072,0.000140072,0.000140072
13,11.462,0.8074,2.42681,0.85336,0.00566,0.14566,0.06825,0.02979,0.61843,3.4744,0.80612,0.000151108,0.000151108,0.000151108
14,12.309,0.66488,2.0526,0.85335,0.00841,0.23249,0.16189,0.07917,0.5296,3.42754,0.79402,0.000161861,0.000161861,0.000161861
15,13.1935,0.70143,1.97088,0.85169,0.01354,0.50028,0.23303,0.13103,0.50519,3.35503,0.78822,0.000172332,0.000172332,0.000172332
16,14.0477,1.07794,2.18832,0.8653,0.01589,0.63417,0.29175,0.17475,0.54133,3.28498,0.7865,0.000182519,0.000182519,0.000182519
17,14.9367,0.90797,1.84109,0.86891,0.01964,0.76022,0.35748,0.19795,0.58815,3.22669,0.78912,0.000192423,0.000192423,0.000192423
18,15.7521,0.78912,1.73493,0.83151,0.01964,0.76022,0.35748,0.19795,0.58815,3.22669,0.78912,0.000202045,0.000202045,0.000202045
19,16.7611,0.8376,1.87136,0.82846,0.02253,0.88571,0.42495,0.24539,0.62414,3.12323,0.7878,0.000211383,0.000211383,0.000211383
20,17.5593,0.77197,1.60244,0.81978,0.02253,0.88571,0.42495,0.24539,0.62414,3.12323,0.7878,0.000220439,0.000220439,0.000220439
21,18.4287,0.73898,1.39679,0.80551,0.02239,0.88571,0.43552,0.27399,0.65567,3.02271,0.78688,0.000229212,0.000229212,0.000229212
22,19.2489,0.74989,1.37901,0.80735,0.02239,0.88571,0.43552,0.27399,0.65567,3.02271,0.78688,0.000237701,0.000237701,0.000237701
23,20.1228,0.71722,1.41069,0.80427,0.02279,0.93333,0.49757,0.35283,0.72817,2.91349,0.79542,0.000245908,0.000245908,0.000245908
24,20.9969,0.61798,1.25016,0.82309,0.02279,0.93333,0.49757,0.35283,0.72817,2.91349,0.79542,0.000253832,0.000253832,0.000253832
25,21.8812,0.69426,1.31832,0.81062,0.02245,0.93333,0.56601,0.45015,0.74031,2.82776,0.80102,0.000261473,0.000261473,0.000261473
26,22.7008,0.66823,1.19514,0.8115,0.02245,0.93333,0.56601,0.45015,0.74031,2.82776,0.80102,0.000268831,0.000268831,0.000268831
27,23.5904,0.70365,1.53352,0.79827,0.02235,0.93333,0.59291,0.48506,0.70821,2.77504,0.8021,0.000275906,0.000275906,0.000275906
28,24.5881,0.62364,1.20193,0.81855,0.02235,0.93333,0.59291,0.48506,0.70821,2.77504,0.8021,0.000282698,0.000282698,0.000282698
29,25.4185,0.70182,1.27111,0.79751,0.02317,1,0.61406,0.50118,0.65081,2.76194,0.80036,0.000289207,0.000289207,0.000289207
30,26.2461,0.63215,1.15264,0.832,0.02317,1,0.61406,0.50118,0.65081,2.76194,0.80036,0.000295433,0.000295433,0.000295433
31,27.0961,0.62615,1.29913,0.80543,0.023,1,0.64855,0.53138,0.56663,2.77324,0.79291,0.000301376,0.000301376,0.000301376
32,27.8994,0.59682,1.08361,0.82596,0.023,1,0.64855,0.53138,0.56663,2.77324,0.79291,0.000307036,0.000307036,0.000307036
33,28.8553,0.62012,1.2908,0.83067,0.0229,1,0.69667,0.55208,0.59242,2.8001,0.79549,0.000312414,0.000312414,0.000312414
34,29.7467,0.60977,1.32689,0.82805,0.0229,1,0.69667,0.55208,0.59242,2.8001,0.79549,0.000317508,0.000317508,0.000317508
35,30.6286,0.72447,1.33209,0.85981,0.02289,1,0.73545,0.56556,0.66807,2.80673,0.80496,0.00032232,0.00032232,0.00032232
36,31.452,0.59094,0.98518,0.80427,0.02289,1,0.73545,0.56556,0.66807,2.80673,0.80496,0.000326848,0.000326848,0.000326848
37,32.4563,0.67842,1.19772,0.80501,0.02285,1,0.78543,0.59719,0.697,2.79048,0.80854,0.000331094,0.000331094,0.000331094
38,33.2633,0.59071,1.20424,0.81931,0.02285,1,0.78543,0.59719,0.697,2.79048,0.80854,0.000335056,0.000335056,0.000335056
39,34.1309,0.67717,1.06828,0.83638,0.0229,1,0.79295,0.61626,0.64481,2.74801,0.80627,0.000338736,0.000338736,0.000338736
40,34.9502,0.62289,0.89963,0.82445,0.0229,1,0.79295,0.61626,0.64481,2.74801,0.80627,0.000342133,0.000342133,0.000342133
