epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.16532,0.9014,3.94703,0.87478,0.00088,0.01961,0.00408,0.00245,0.4303,3.71899,0.79313,0,0,0
2,1.8437,0.72069,3.74902,0.87221,0.00088,0.01961,0.00347,0.00208,0.43131,3.71572,0.79381,1.41485e-05,1.41485e-05,1.41485e-05
3,2.45373,0.84067,3.75802,0.877,0.00089,0.01961,0.00959,0.00575,0.43629,3.7099,0.79525,2.80141e-05,2.80141e-05,2.80141e-05
4,3.03511,0.85446,3.89197,0.86745,0.00089,0.01961,0.00654,0.00392,0.43616,3.70933,0.79469,4.15968e-05,4.15968e-05,4.15968e-05
5,3.69726,0.80508,3.826,0.89258,0.00088,0.01961,0.01875,0.01313,0.38805,3.62322,0.79114,5.48965e-05,5.48965e-05,5.48965e-05
6,4.53905,0.68276,3.67324,0.83979,0,0,0,0,0.43823,3.59832,0.7936,6.79132e-05,6.79132e-05,6.79132e-05
7,5.30634,0.62853,3.50541,0.84488,0,0,0,0,0.49046,3.58959,0.79572,8.0647e-05,8.0647e-05,8.0647e-05
8,6.14808,0.64643,3.24677,0.84258,0,0,0,0,0.49401,3.58088,0.79698,9.30979e-05,9.30979e-05,9.30979e-05
9,6.89501,0.62046,3.0866,0.79455,0,0,0,0,0.48367,3.57794,0.79587,0.000105266,0.000105266,0.000105266
10,7.90323,0.61086,2.96117,0.80432,0.01362,0.33333,0.01355,0.01223,0.45809,3.56371,0.79349,0.000117151,0.000117151,0.000117151
11,8.72865,0.70394,2.64739,0.83469,0.01372,0.33333,0.01372,0.01268,0.45673,3.55285,0.79297,0.000128753,0.000128753,0.000128753
12,9.51109,0.6082,2.22187,0.8167,0.01617,0.53333,0.01567,0.01405,0.46755,3.53244,0.79242,0.000140072,0.000140072,0.000140072
13,10.2961,0.6506,2.04368,0.83365,0.014,0.59664,0.0604,0.04435,0.49503,3.48972,0.79237,0.000151108,0.000151108,0.000151108
14,11.1066,0.6828,1.7182,0.87473,0.01245,0.58543,0.06705,0.05244,0.46551,3.4315,0.78833,0.000161861,0.000161861,0.000161861
15,11.9359,0.70019,1.82168,0.86308,0.00501,0.24874,0.09648,0.07798,0.43308,3.38272,0.78664,0.000172332,0.000172332,0.000172332
16,12.7535,0.85865,1.86158,0.85388,0.00584,0.29636,0.1278,0.08736,0.43533,3.36967,0.78731,0.000182519,0.000182519,0.000182519
17,13.5408,0.74885,1.75439,0.85387,0.01005,0.49748,0.21488,0.14231,0.47128,3.31951,0.78575,0.000192423,0.000192423,0.000192423
18,14.2708,0.63268,1.59248,0.81125,0.01005,0.49748,0.21488,0.14231,0.47128,3.31951,0.78575,0.000202045,0.000202045,0.000202045
19,15.0821,0.7338,1.66141,0.8173,0.01489,0.70924,0.31321,0.19597,0.54658,3.24211,0.78759,0.000211383,0.000211383,0.000211383
20,15.9732,0.71508,1.4362,0.82066,0.01489,0.70924,0.31321,0.19597,0.54658,3.24211,0.78759,0.000220439,0.000220439,0.000220439
