epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.44677,1.54733,4.06274,1.03437,0.00088,0.01961,0.00653,0.00326,0.4341,3.72221,0.79565,0,0,0
2,4.64621,1.18598,3.90068,0.99733,0.00088,0.01961,0.01875,0.00937,0.43393,3.72375,0.79769,1.42193e-05,1.42193e-05,1.42193e-05
3,5.58815,1.33221,3.95167,1.0449,0.00089,0.01961,0.01876,0.0075,0.43877,3.72504,0.798,2.82971e-05,2.82971e-05,2.82971e-05
4,6.46023,1.3818,4.00019,0.99192,0.00089,0.01961,0.01875,0.00563,0.44242,3.72692,0.7981,4.22334e-05,4.22334e-05,4.22334e-05
5,7.39779,1.29533,3.96712,1.02078,0.00088,0.01961,0.00959,0.00383,0.40084,3.62498,0.79194,5.60282e-05,5.60282e-05,5.60282e-05
6,8.55982,1.00081,3.76125,0.91536,0,0,0,0,0.52167,3.58665,0.79865,6.96816e-05,6.96816e-05,6.96816e-05
7,9.69538,0.73783,3.54401,0.86314,0,0,0,0,0.81045,3.5926,0.82288,8.31935e-05,8.31935e-05,8.31935e-05
8,10.8298,0.7121,3.33586,0.84894,0,0,0,0,0.96365,3.58728,0.84078,9.6564e-05,9.6564e-05,9.6564e-05
9,12.118,0.81999,3.25084,0.81038,0,0,0,0,0.95687,3.58854,0.84088,0.000109793,0.000109793,0.000109793
10,13.2553,0.76273,3.32167,0.81813,0,0,0,0,0.9719,3.57613,0.84583,0.00012288,0.00012288,0.00012288
11,14.3685,0.80177,3.03341,0.84247,0.00088,0.01961,0.01875,0.00375,0.88403,3.54202,0.83535,0.000135826,0.000135826,0.000135826
12,15.4278,0.76148,2.69838,0.82518,0.00269,0.08683,0.03306,0.01846,0.71439,3.50665,0.81677,0.000148631,0.000148631,0.000148631
13,16.5106,0.76929,2.33026,0.84734,0.00571,0.14566,0.06812,0.02914,0.56072,3.46643,0.79798,0.000161294,0.000161294,0.000161294
14,17.6185,0.6506,1.95361,0.85367,0.00654,0.19328,0.09313,0.05242,0.49584,3.41645,0.78899,0.000173816,0.000173816,0.000173816
15,18.7017,0.69854,1.90094,0.84745,0.0109,0.41345,0.17256,0.08391,0.48904,3.34933,0.78573,0.000186196,0.000186196,0.000186196
16,19.8042,1.06842,2.11739,0.86231,0.01243,0.48067,0.22098,0.12484,0.525,3.27629,0.7868,0.000198435,0.000198435,0.000198435
17,20.873,0.889,1.79146,0.86743,0.01727,0.67339,0.27376,0.15105,0.5784,3.2048,0.78905,0.000210532,0.000210532,0.000210532
18,21.8467,0.78239,1.73991,0.83306,0.01727,0.67339,0.27376,0.15105,0.5784,3.2048,0.78905,0.000222487,0.000222487,0.000222487
19,22.9848,0.81119,1.83541,0.82038,0.02046,0.73277,0.35244,0.20936,0.62285,3.11252,0.7919,0.000234302,0.000234302,0.000234302
20,24.2012,0.76691,1.52987,0.81837,0.02046,0.73277,0.35244,0.20936,0.62285,3.11252,0.7919,0.000245974,0.000245974,0.000245974
21,25.2787,0.71169,1.36123,0.80436,0.02056,0.75238,0.41395,0.28207,0.67736,3.00188,0.79456,0.000257506,0.000257506,0.000257506
22,26.3301,0.73861,1.35043,0.80696,0.02056,0.75238,0.41395,0.28207,0.67736,3.00188,0.79456,0.000268896,0.000268896,0.000268896
23,27.45,0.70259,1.35653,0.80062,0.02086,0.81905,0.52036,0.37221,0.77906,2.92,0.80687,0.000280144,0.000280144,0.000280144
24,28.4778,0.61501,1.19431,0.82683,0.02086,0.81905,0.52036,0.37221,0.77906,2.92,0.80687,0.000291251,0.000291251,0.000291251
25,29.5903,0.70279,1.28957,0.81501,0.02242,0.93333,0.53372,0.39603,0.76593,2.84017,0.80875,0.000302216,0.000302216,0.000302216
26,30.6622,0.67397,1.1679,0.81447,0.02242,0.93333,0.53372,0.39603,0.76593,2.84017,0.80875,0.00031304,0.00031304,0.00031304
27,31.7737,0.71236,1.48546,0.80284,0.02227,0.93333,0.59445,0.46802,0.70471,2.79328,0.80223,0.000323723,0.000323723,0.000323723
28,32.8171,0.61667,1.16416,0.81898,0.02227,0.93333,0.59445,0.46802,0.70471,2.79328,0.80223,0.000334264,0.000334264,0.000334264
29,33.9067,0.6935,1.22602,0.79915,0.02202,0.93333,0.62694,0.50121,0.63702,2.77899,0.79714,0.000344663,0.000344663,0.000344663
30,34.9606,0.65163,1.11676,0.83512,0.02202,0.93333,0.62694,0.50121,0.63702,2.77899,0.79714,0.000354921,0.000354921,0.000354921
31,36.2858,0.6531,1.23722,0.81354,0.02181,0.93333,0.67849,0.5397,0.57983,2.80626,0.79544,0.000365038,0.000365038,0.000365038
32,37.38,0.61309,1.06761,0.83198,0.02181,0.93333,0.67849,0.5397,0.57983,2.80626,0.79544,0.000375013,0.000375013,0.000375013
33,38.5112,0.64416,1.22802,0.83946,0.02073,0.86667,0.68935,0.55621,0.64234,2.86987,0.80551,0.000384847,0.000384847,0.000384847
34,39.6469,0.60226,1.23454,0.83245,0.02073,0.86667,0.68935,0.55621,0.64234,2.86987,0.80551,0.000394539,0.000394539,0.000394539
35,40.8715,0.69937,1.27199,0.8611,0.02102,0.88571,0.72796,0.55332,0.69303,2.88814,0.81667,0.00040409,0.00040409,0.00040409
36,41.9693,0.59942,1.00796,0.80855,0.02102,0.88571,0.72796,0.55332,0.69303,2.88814,0.81667,0.000413499,0.000413499,0.000413499
37,43.1711,0.65708,1.21436,0.80886,0.02103,0.88571,0.7314,0.57062,0.67879,2.85635,0.81636,0.000422767,0.000422767,0.000422767
38,44.3602,0.59266,1.17072,0.82208,0.02103,0.88571,0.7314,0.57062,0.67879,2.85635,0.81636,0.000431893,0.000431893,0.000431893
39,45.5758,0.70428,0.98833,0.84216,0.02117,0.88571,0.72264,0.57865,0.59905,2.79131,0.80321,0.000440878,0.000440878,0.000440878
40,46.6376,0.59359,0.84862,0.82027,0.02117,0.88571,0.72264,0.57865,0.59905,2.79131,0.80321,0.000449721,0.000449721,0.000449721
41,47.7489,0.6771,0.88425,0.86694,0.02137,0.88571,0.72172,0.59512,0.52399,2.69309,0.79449,0.000458423,0.000458423,0.000458423
42,48.7935,0.5559,0.96572,0.85534,0.02137,0.88571,0.72172,0.59512,0.52399,2.69309,0.79449,0.000466984,0.000466984,0.000466984
43,50.1456,0.57828,0.92677,0.83451,0.02142,0.88571,0.74196,0.63765,0.50073,2.63976,0.7893,0.000475403,0.000475403,0.000475403
44,51.2014,0.62279,0.86241,0.83964,0.02142,0.88571,0.74196,0.63765,0.50073,2.63976,0.7893,0.00048368,0.00048368,0.00048368
45,52.3196,0.51701,0.84014,0.82808,0.02141,0.88571,0.75577,0.65704,0.51431,2.61529,0.79227,0.000491816,0.000491816,0.000491816
46,53.3583,0.56595,0.76413,0.84075,0.02141,0.88571,0.75577,0.65704,0.51431,2.61529,0.79227,0.000499811,0.000499811,0.000499811
47,54.4871,0.56285,0.74906,0.80797,0.62345,0.75238,0.77664,0.65857,0.54447,2.59095,0.79934,0.000507664,0.000507664,0.000507664
48,55.5811,0.55563,0.76937,0.80797,0.62345,0.75238,0.77664,0.65857,0.54447,2.59095,0.79934,0.000515375,0.000515375,0.000515375
49,56.7031,0.57945,0.91438,0.83389,0.02347,0.88571,0.73356,0.62602,0.53443,2.59745,0.80863,0.000522945,0.000522945,0.000522945
50,57.7845,0.54662,0.73876,0.82436,0.02347,0.88571,0.73356,0.62602,0.53443,2.59745,0.80863,0.000530374,0.000530374,0.000530374
51,59.4099,0.56419,0.71719,0.82606,0.02149,0.88571,0.75455,0.63865,0.50097,2.60684,0.82069,0.000537661,0.000537661,0.000537661
52,60.6571,0.54311,0.76698,0.81925,0.02149,0.88571,0.75455,0.63865,0.50097,2.60684,0.82069,0.000544807,0.000544807,0.000544807
53,61.8569,0.53573,0.67384,0.83016,0.02149,0.88571,0.75455,0.63865,0.50097,2.60684,0.82069,0.000551811,0.000551811,0.000551811
54,63.0891,0.66194,0.79314,0.85573,0.02164,0.88571,0.78104,0.69146,0.5093,2.58743,0.82628,0.000558674,0.000558674,0.000558674
55,64.2543,0.48636,0.73395,0.82608,0.02164,0.88571,0.78104,0.69146,0.5093,2.58743,0.82628,0.000565395,0.000565395,0.000565395
56,65.5681,0.57079,0.76986,0.8161,0.02164,0.88571,0.78104,0.69146,0.5093,2.58743,0.82628,0.000571975,0.000571975,0.000571975
57,66.7351,0.55354,0.80062,0.83362,0.0207,0.81905,0.73003,0.63788,0.5039,2.54551,0.82097,0.000578413,0.000578413,0.000578413
58,67.844,0.53619,0.69497,0.8315,0.0207,0.81905,0.73003,0.63788,0.5039,2.54551,0.82097,0.00058471,0.00058471,0.00058471
59,68.8622,0.53625,0.67003,0.82459,0.0207,0.81905,0.73003,0.63788,0.5039,2.54551,0.82097,0.000590866,0.000590866,0.000590866
60,69.9917,0.58202,0.82291,0.83219,0.53002,0.70476,0.70682,0.62299,0.4998,2.48274,0.82414,0.00059688,0.00059688,0.00059688
61,71.0864,0.52599,0.77638,0.80064,0.53002,0.70476,0.70682,0.62299,0.4998,2.48274,0.82414,0.000602752,0.000602752,0.000602752
62,72.2149,0.55658,0.71835,0.80744,0.53002,0.70476,0.70682,0.62299,0.4998,2.48274,0.82414,0.000608483,0.000608483,0.000608483
63,73.2896,0.56319,0.66702,0.83179,0.98956,0.58456,0.80062,0.71558,0.49395,2.35844,0.82903,0.000614073,0.000614073,0.000614073
64,74.3756,0.46596,0.64702,0.81155,0.98956,0.58456,0.80062,0.71558,0.49395,2.35844,0.82903,0.000619521,0.000619521,0.000619521
65,75.7155,0.51044,0.63243,0.82924,0.98956,0.58456,0.80062,0.71558,0.49395,2.35844,0.82903,0.000624827,0.000624827,0.000624827
66,76.7872,0.55662,0.72226,0.84052,1,0.38104,0.995,0.90135,0.45809,2.20385,0.83417,0.000629993,0.000629993,0.000629993
67,77.8053,0.49843,0.69352,0.81045,1,0.38104,0.995,0.90135,0.45809,2.20385,0.83417,0.000635016,0.000635016,0.000635016
68,78.8611,0.51024,0.60845,0.81834,1,0.38104,0.995,0.90135,0.45809,2.20385,0.83417,0.000639898,0.000639898,0.000639898
69,80.0415,0.48844,0.59472,0.80672,0.95391,0.39029,0.90499,0.80496,0.44187,2.11505,0.8156,0.000644639,0.000644639,0.000644639
70,81.1617,0.58041,0.64341,0.84612,0.95391,0.39029,0.90499,0.80496,0.44187,2.11505,0.8156,0.000649238,0.000649238,0.000649238
71,82.2223,0.50471,0.6254,0.82461,0.95391,0.39029,0.90499,0.80496,0.44187,2.11505,0.8156,0.000653696,0.000653696,0.000653696
